Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Taywan Taylor,TEN,1.0,0.63,0.0,1.57,17.75,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Trent Taylor,SF,1.0,0.13,0.0,2.46,28.79,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Adam Thielen,MIN,1.0,0.35,0.0,5.48,74.27,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Demaryius Thomas,HOU,1.0,0.15,0.0,5.47,57.83,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Michael Thomas,NO,1.0,0.06,0.0,8.59,105.72,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Deonte Thompson,BUF,1.0,0.77,0.0,2.47,33.11,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Tonyan,GB,1.0,0.04,0.0,0.12,1.85,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Laquon Treadwell,MIN,1.0,0.03,0.0,1.75,21.86,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marquez Valdes-Scantling,GB,1.0,0.3,0.0,0.46,6.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
James Washington,PIT,1.0,0.31,0.0,2.97,35.6,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Sammy Watkins,KC,1.0,0.1,0.0,3.06,47.54,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Dede Westbrook,JAX,1.0,1.18,0.0,3.24,40.16,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.01
Kevin White,CHI,1.0,0.39,0.0,0.52,6.66,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tim White,BAL,1.0,0.28,0.0,0.41,6.24,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Chad Williams,ARI,1.0,1.03,0.0,2.01,22.7,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Mike Williams,LAC,1.0,0.62,0.0,2.91,37.41,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Terrance Williams,DAL,1.0,0.8,0.0,1.06,13.85,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Tyrell Williams,LAC,1.0,0.11,0.0,2.8,43.67,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Derrick Willies,CLE,1.0,0.21,0.0,0.32,5.75,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Albert Wilson,MIA,1.0,2.74,0.03,1.87,19.86,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Robert Woods,LAR,1.0,0.48,0.01,4.47,63.92,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jarius Wright,CAR,1.0,0.89,0.0,3.84,50.63,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Brandon Zylstra,MIN,1.0,0.29,0.0,0.42,6.64,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
