Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,40+ Rush TD,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,200+ Rec Yds,Return Yds,Return TD,Fum Lost,Fum,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Fum TD,Blk TD,Blk,Pass Def,Int Yds,Fum Yds,TFL,POS
Will Fuller,HOU,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,28.0,423.0,7.0,2.0,1.0,1.0,0.0,135.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Devin Funchess,CAR,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,840.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Taylor Gabriel,CHI,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,49.0,0.0,0.0,33.0,378.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Pierre Garcon,SF,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,500.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tanner Gentry,CHI,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Shelton Gibson,PHI,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Ted Ginn,NO,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,39.0,0.0,0.0,53.0,787.0,4.0,2.0,1.0,1.0,0.0,159.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Chris Godwin,TB,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,525.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kenny Golladay,DET,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,28.0,477.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
C.J. Goodwin,DAL,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
