Player,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Tavarres King, Min WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Cobi Hamilton, Ind WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Corey Fuller, NO WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Marquess Wilson, Phi WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Quinton Patton, NYJ WR Q",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Nick Williams, LAR WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Kenbrell Thompkins, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Marlon Brown, Chi WR Q",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jordan Matthews, Phi WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Josh Huff, NO WR SSPD",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Marqise Lee*, Jax WR IR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Shaq Evans, Dal WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jared Abbrederis, Det WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Kevin Norwood, NYG WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Martavis Bryant*, Oak WR IR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Devin Street, Hou WR Q",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Dontrelle Inman, Ind WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jeff Janis, Cle WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Brandon Coleman, NO WR Q",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Michael Campanaro, Ten WR Q",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Brenton Bersin, Car WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Corey Brown, Den WR Q",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Frankie Hammond, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"James Wright*, Ind WR IR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Isaiah Burse, LAC WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jeremy Butler, Buf WR Q",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Walter Powell, Buf WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Rashad Ross, Ari WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Kenny Bell, Den WR Q",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Dres Anderson, Dal WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Keith Mumphery, Hou WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"DeAndrew White, Den WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Tre McBride, Wsh WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Dezmin Lewis, Buf WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Quan Bray, Hou WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Devin Smith, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Dorial Green-Beckham, Phi WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Breshad Perriman, Cle WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Jaelen Strong, Jax WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Mario Alford, Cle WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"DeAndre Smelter, Jax WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Chris Matthews, Bal WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Seantavius Jones, Ind WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Bennie Fowler, NYG WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Lucky Whitehead, NYJ WR Q",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Matt Hazel, Ind WR Q",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Chris Harper, NYJ WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
"Donteea Dye, TB WR",0/0,0,0,0,0,0,0,0,0,0,0,WR
