Player,Team,GP,Pass Yds,Pass TD,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Dontrelle Inman,IND,1.0,0.0,0.0,0.07,0.0,25.4,261.35,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
DeSean Jackson,TB,0.0,0.0,0.0,29.0,1.0,41.0,774.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Richie James,SF,1.0,0.0,0.0,0.52,0.0,7.92,122.55,0.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,1.01
Alshon Jeffery,PHI,1.0,0.0,0.0,0.12,0.0,63.76,839.63,5.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Darius Jennings,TEN,1.0,21.0,0.0,2.57,0.0,9.0,95.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,1.0
Marcus Johnson,IND,0.0,0.0,0.0,-2.0,0.0,6.0,102.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Andy Jones,DET,1.0,0.0,0.0,0.74,0.0,6.82,52.62,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
J.J. Jones,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Julio Jones,ATL,1.0,0.0,0.0,12.14,0.0,109.65,1617.09,7.52,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marvin Jones,DET,0.0,0.0,0.0,0.0,0.0,35.0,508.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
T.J. Jones,DET,1.0,0.0,0.0,0.09,0.0,17.76,170.69,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Zay Jones,BUF,1.0,0.0,0.0,0.59,0.0,53.01,604.76,5.28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Jermaine Kearse,NYJ,0.0,0.0,0.0,0.0,0.0,37.0,371.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Marcus Kemp,KC,1.0,0.0,0.0,0.18,0.0,1.24,11.55,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Darvin Kidsy,WAS,1.0,0.0,0.0,0.28,0.0,0.5,6.26,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
Christian Kirk,ARI,0.0,0.0,0.0,35.0,0.0,43.0,590.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0
