Player,nfl_team,college,experience,draft_year,draft_round,draft_pick,pass_comps,pass_atts,pass_yds,pass_tds,pass_ints,pass_sacked,pass_2xp,rec_rcpts,rec_yds,rec_tds,rec_tgts,rec_2xp,rush_atts,rush_yds,rush_tds,rush_2xp,fumbles,tackles,assists,sacks,sack_yds,passes_defensed,ints,int_yds,int_tds,fumbles_recovered,fumble_yds,fumble_tds,fumbles_forced,safeties,kick_patm,kick_pata,kick_fgm,kick_fga,kick_01_29,kick_30_39,kick_40_49,kick_50_plus,punt_rets,punt_ret_yds,punt_ret_tds,ko_rets,ko_ret_yds,ko_ret_tds,pts_ppr,pts_std,POS
Michael Roberts,DET,Toledo,2,2017,4,21,0,0,0,0,0,0,0,16,147,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7,0,TE
Austin Traylor,DEN,Wisconsin,2,2016,0,0,0,0,0,0,0,0,0,18,183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.3,0,TE
Eric Saubert,ATL,Drake,2,2017,5,31,0,0,0,0,0,0,0,15,206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6,0,TE
Tyler Conklin,MIN,Central Michigan,0,2018,5,20,0,0,0,0,0,0,0,16,194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.4,0,TE
Niles Paul,JAC,Nebraska,8,2011,5,24,0,0,0,0,0,0,0,18,173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3,0,TE
Will Tye,PHI,Stony Brook,3,2015,0,0,0,0,0,0,0,0,0,18,171,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1,0,TE
Levine Toilolo,DET,Stanford,6,2013,4,36,0,0,0,0,0,0,0,15,177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7,0,TE
C.J. Uzomah,CIN,Auburn,4,2015,5,21,0,0,0,0,0,0,0,16,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,TE
Dwayne Allen,NWE,Clemson,7,2012,3,1,0,0,0,0,0,0,0,16,152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.2,0,TE
Logan Thomas,BUF,Virginia Tech,4,2014,4,20,0,0,0,0,0,0,0,15,153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3,0,TE
