Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Jalen Saunders, NE WR",@Den,W 41-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"De'Anthony Thomas, KC WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Bruce Ellington, Hou WR",@LAR,L 7-33,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Devin Street, Hou WR",@LAR,L 7-33,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Dontrelle Inman, Chi WR",GB,L 16-23,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jeff Janis, Cle WR",@Det,L 24-38,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Corey Washington, Dal WR",@Atl,L 7-27,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Robert Herron, Oak WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Brandon Coleman, NO WR",@Buf,W 47-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Michael Campanaro, Ten WR",Cin,W 24-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Brenton Bersin, Car WR",Mia,W 45-21,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Allen Hurns, Dal WR",@Atl,L 7-27,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Corey Brown, Buf WR",NO,L 10-47,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Taylor Gabriel, Chi WR",GB,L 16-23,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Adam Thielen, Min WR",@Wsh,W 38-30,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Ryan Grant, Ind WR",Pit,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Frankie Hammond, NYJ WR",@TB,L 10-15,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Albert Wilson, Mia WR",@Car,L 21-45,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Willie Snead, NO WR",@Buf,W 47-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"TJ Jones, Det WR",Cle,W 38-24,--/--,--,--,--,--,--,--,--,--,--,--,WR
"James Wright, Ind WR",Pit,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Isaiah Burse, LAC WR",@Jax,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jeremy Butler, Buf WR",NO,L 10-47,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Damian Copeland, Det WR",Cle,W 38-24,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jonathan Krause, Ten WR",Cin,W 24-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Walter Powell, Buf WR",NO,L 10-47,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Rashad Ross, Ari WR",Sea,L 16-22,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Freddie Martino, TB WR",NYJ,W 15-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Kevin Smith, Sea WR",@Ari,W 22-16,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Andre Debose, Ind WR",Pit,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"DiAndre Campbell, SF WR",NYG,W 31-21,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Issac Blakeney, Pit WR",@Ind,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Geremy Davis, LAC WR",@Jax,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Da'Ron Brown, LAC WR",@Jax,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Kenny Bell, Den WR",NE,L 16-41,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Dres Anderson, Ind WR",Pit,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Keith Mumphery, Hou WR",@LAR,L 7-33,--/--,--,--,--,--,--,--,--,--,--,--,WR
"J.J. Nelson, Ari WR",Sea,L 16-22,--/--,--,--,--,--,--,--,--,--,--,--,WR
