Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Brian Parker, Den TE",@Bal,L 14-27,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Ross Travis*, Ind TE IR",@Phi,L 16-20,0/0,0,0,0,0,0,0,0,0,0,0,TE
"D.J. Tialavea, Atl TE",NO,L 37-43,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Matt Lengel, Cin TE",@Car,L 21-31,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Mason Schreck*, Cin TE IR",@Car,L 21-31,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Adam Shaheen, Chi TE",@Ari,W 16-14,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Bucky Hodges, Pit TE",@TB,W 30-27,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Cole Hikutini, Min TE",Buf,L 6-27,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Jacob Hollister*, NE TE IR",@Det,L 10-26,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Darrell Daniels, Ari TE",Chi,L 14-16,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Evan Baylis, Car TE",Cin,W 31-21,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Henry Krieger-Coble, LAR TE",LAC,W 35-23,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Austin Traylor, Den TE",@Bal,L 14-27,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Hayden Hurst, Bal TE",Den,W 27-14,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Dalton Schultz, Dal TE",@Sea,L 13-24,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Troy Fumagalli*, Den TE IR",@Bal,L 14-27,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Ryan Izzo*, NE TE IR",@Det,L 10-26,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Robert Tonyan, GB TE",@Wsh,L 17-31,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Dan Arnold, NO TE",@Atl,W 43-37,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Anthony Firkser, Ten TE",@Jax,W 9-6,0/0,0,0,0,0,0,0,0,0,0,0,TE
"Beau Brinkley, Ten TE",@Jax,W 9-6,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jerome Cunningham, Det TE",NE,W 26-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Mo Alie-Cox, Ind TE",@Phi,L 16-20,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Tyrone Swoopes, Sea TE",Dal,W 24-13,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Garrett Dickerson, NYG TE",@Hou,W 27-22,--/--,--,--,--,--,--,--,--,--,--,--,TE
"David Grinnage, Jax TE",Ten,L 6-9,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Ross Dwelley, SF TE",@KC,L 27-38,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jordan Franks, Cin TE",@Car,L 21-31,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Matt Flanagan, Wsh TE",GB,W 31-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Donnie Ernsberger, TB TE",Pit,L 27-30,--/--,--,--,--,--,--,--,--,--,--,--,TE
